id	region	birth	strength	usage	utility	context
93	18	2710	0.4844	2724	-0.0311	The made it difficult of people over the
94	12	3000	1.0	0	-0.0282	 Wonder and Whit 2011 es there TheirK
95	0	3000	1.0	0	-0.0338	 and Whit 2011 es there TheirK Their
96	22	2710	0.4795	2720	-0.0442	 difficult of people over the world enough food
97	12	3000	1.0	0	-0.0447	 Whit 2011 es there TheirK Their.
98	2	2713	0.7374	2724	-0.0443	 over the world enough food Peopleb.
99	2	2713	0.488	2724	-0.031	 the world enough food Peopleb. 1917
100	2	2713	0.745	2729	-0.0464	 world enough food Peopleb. 1917)
101	28	2893	3.0509	2904	-0.026	 the Oceanation (O and represent at
102	16	2715	0.4916	2725	-0.058	 can one another and is lingu un
103	20	2715	0.7474	2728	-0.026	 one another and is lingu un V
104	22	2715	0.7474	2728	-0.0357	 another and is lingu un Vro
105	20	2715	0.4942	2727	-0.0495	 and is lingu un Vro community
106	20	2715	1.2615	2728	-0.0529	 is lingu un Vro community,
107	2	2716	0.82	2774	-0.0389	ingu un Vro community,
ok
108	2	2716	0.4966	2728	-0.0419	 un Vro community,
ok shape
109	30	2893	16.3025	2916	-0.0767	 Oceanation (O and represent at the
110	0	2849	14.4952	3000	-0.0469	, Oremland and On Valenc
111	16	2716	0.4966	2728	-0.0376	ok shape the only oneaze rest
112	16	2716	0.7511	2728	-0.057	 shape the only oneaze rest,
113	2	2849	1.9538	2860	-0.0539	 Oremland and On Valenc several
114	0	2758	0.6146	2771	-0.0383	 Rayam is to have lived around
115	16	2758	0.9448	2776	-0.0425	ayam is to have lived around9
116	28	2893	4.3688	2912	-0.0422	ation (O and represent at the-
117	2	2758	0.6146	2771	-0.0344	 have lived around9. were in the
118	18	2758	1.2588	2774	-0.0529	 lived around9. were in the same
119	28	2893	1.1998	2903	-0.0552	 (O and represent at the- Women
120	0	3000	1.0	0	-0.0701	 2011 es there TheirK Their.nes
121	18	2758	3.1627	2772	-0.0216	. were in the same place;en
122	16	2719	0.5016	2729	-0.0407	 Sweden  1980 Winter Olympics in Lake Pl
123	16	2849	4.9455	2862	-0.0558	elve this opin . They is a
124	16	2849	7.4092	2862	-0.0331	ve this opin . They is a own
125	20	2719	0.5016	2729	-0.0413	 Olympics in Lake Placid participated both
126	20	2849	0.9624	2859	-0.0548	 this opin . They is a own They
127	24	2719	1.0236	2735	-0.048	 Lake Placid participated both individual events
128	16	2719	1.0157	2729	-0.0376	 Placid participated both individual events rel
129	20	2849	1.4556	2859	-0.0529	 opin . They is a own Theyuse
130	20	2719	0.7586	2729	-0.0548	id participated both individual events rel Her best
131	22	2719	0.5094	2735	-0.0383	 participated both individual events rel Her best individual
132	10	3000	1.0	0	-0.0426	 es there TheirK Their.nes 2011
133	0	2720	0.5271	2747	-0.048	 events rel Her best individual result no that
134	2	2720	1.0773	2747	-0.0519	 rel Her best individual result no that those
135	16	2720	0.5107	2735	-0.049	 that those (the andas) there
136	8	3000	1.0	0	-0.0324	 there TheirK Their.nes 2011 Their
137	16	2720	1.3054	2735	-0.0317	) there.  They knew little Africa
138	2	2723	0.5308	2747	-0.0321	 They knew little Africayra among 6
139	2	2723	0.7793	2735	-0.043	 knew little Africayra among 6ak
140	8	3000	1.0	0	-0.0447	 TheirK Their.nes 2011 Their.
141	8	3000	1.0	0	-0.0464	 name he and ChineseThey Th
142	2	2825	1.3196	2842	-0.0619	 another in Science degree. Semin)
143	2	2799	1.5304	2813	-0.0543	, too need some. h Jordan

144	2	2799	1.1387	2811	-0.051	 too need some. h Jordan
 L
145	2	2799	1.5265	2811	-0.0389	 need some. h Jordan
 L Man
146	2	2825	1.7613	2842	-0.0357	 in Science degree. Semin) (
147	20	2850	0.9672	2860	-0.0552	ameThe Ron 1950 movie Rash
148	0	2825	1.7659	2844	-0.0304	 degree. Semin) (P Africa
149	2	2941	23.965	3000	-0.0357	 divided processed inructive ass
150	6	2799	1.5323	2813	-0.0447	 Manob ofpop girl group Black
151	0	2851	33.4424	3000	-0.052	 Ron 1950 movie Rashom off
152	0	2765	0.6399	2780	-0.0659	568 forment spectators in
153	2	2725	0.5169	2735	-0.0074	ian Thehem 1909 and people groups Con
154	2	2929	19.1135	3000	-0.0453	 Pictureery
act Picture (1834
155	4	2799	0.7509	2810	-0.0378	pop girl group Blackp
 S
156	2	2765	0.9586	2776	-0.0419	ators in the Romanosse. The
157	22	2765	1.3092	2789	-0.0566	 in the Romanosse. Theator
158	16	2725	0.7885	2740	-0.0454	 ar because there, values ideas that
159	6	2765	0.9753	2785	-0.0268	 Romanosse. Theator the Latin
160	0	2725	0.5169	2735	-0.0485	 there, values ideas that seen to
161	0	2727	2.8853	3000	-0.0447	 ideas that seen to be differentek did
162	2	2727	1.1435	2761	-0.0419	 that seen to be differentek did,
163	2	2727	0.5444	2753	-0.0546	 seen to be differentek did, letters
164	8	3000	1.0	0	-0.0331	 name he and ChineseThey Thh
165	0	2851	7.0034	2865	-0.0525	ashom off October 2008 under control of
166	16	2727	1.8831	2745	-0.0583	ek did, letters Royal Society in.
167	16	2727	0.5234	2738	-0.0344	 did, letters Royal Society in. The
168	24	2727	0.7924	2738	-0.0638	, letters Royal Society in. The published
169	8	3000	1.0	0	-0.043	 he and ChineseThey Thhon
170	22	2727	0.5262	2740	-0.049	 Royal Society in. The published Philos
171	16	2727	0.7924	2738	-0.0648	 Society in. The published Philosical
172	0	2728	1.0831	2745	-0.0364	. The published Philosicalis But
173	2	2728	1.1299	2776	-0.0354	 The published Philosicalis But perform
174	2	2728	0.5329	2744	-0.0413	 published Philosicalis But performers
175	2	2728	1.1286	2776	-0.06	 Philosicalis But performers the
176	2	2728	4.1056	3000	-0.0557	icalis But performers the 60s
177	16	2728	0.5329	2744	-0.0591	ers the 60ss preferional suit
178	30	2813	5.82	2829	-0.0579	 quesizeau politician (d.
179	24	2728	0.5247	2738	-0.0584	 60ss preferional suit t look
180	22	2813	1.65	2829	-0.0591	quesizeau politician (d.)
181	16	2728	1.6155	2745	-0.057	s preferional suit t look. But
182	4	2728	0.7964	2740	-0.0585	 preferional suit t look. But the
183	6	2728	0.806	2745	-0.0413	ional suit t look. But thes
184	22	2728	0.5329	2744	-0.0369	 suit t look. But thes several
185	22	2728	0.5329	2744	-0.0648	 t look. But thes several black
186	2	2729	0.5544	2758	-0.0595	s several black this is of geographical
187	2	2729	1.083	2744	-0.0552	 several black this is of geographicalification
188	16	2729	0.8242	2753	-0.0669	 this is of geographicalification lingu
189	16	2729	0.8004	2740	-0.0469	 is of geographicalification linguThe
190	2	2817	2.2441	3000	-0.0474	d.)á, farm Argentina selling
191	2	2817	2.2399	3000	-0.0648	.)á, farm Argentina sellingat
192	16	2729	0.8114	2744	-0.0495	ification linguThelophone C
193	2	2767	1.6289	2780	-0.0667	y died ( Land will. still
194	2	2817	1.6642	2829	-0.0357	)á, farm Argentina sellingat a
195	30	2817	1.6685	2829	-0.0691	á, farm Argentina sellingat aers
196	18	2735	0.5435	2745	-0.0447	 Cis also as between theous system
197	18	2735	0.9077	2797	-0.0388	is also as between theous system.
198	16	2735	0.5549	2753	-0.057	 also as between theous system. Ne
199	26	2735	0.8362	2753	-0.05	 as between theous system. Neuro
200	16	2735	0.5435	2745	-0.0685	 between theous system. Neurol
201	16	2735	2.2203	2747	-0.0469	 Neurological rel heav on
202	0	2735	1.3847	2747	-0.0472	urological rel heav on of
203	16	2735	1.1062	2747	-0.0607	logical rel heav on ofbi
204	16	2735	0.5463	2747	-0.0653	ogical rel heav on ofbiology
205	30	2817	0.8326	2833	-0.051	, farm Argentina sellingat aers are
206	2	2771	1.6619	2785	-0.0732	 therog I the Last Airender nothing
207	2	2771	1.6552	2782	-0.0583	rog I the Last Airender nothing,
208	24	2771	0.6509	2781	-0.0583	 the Last Airender nothing, in,
209	10	2771	1.3199	2782	-0.0401	 Last Airender nothing, in, is
210	14	2771	4.4093	2790	-0.0692	 nothing, in, is anders above
211	14	2771	0.9862	2782	-0.0634	 in, is anders above children's
212	6	2771	1.6602	2785	-0.0548	, is anders above children'sment
213	6	2771	0.9862	2782	-0.0472	 anders above children'sment and "
214	6	2771	1.6552	2782	-0.0619	ers above children'sment and " a
215	6	2782	1.765	2795	-0.0667	 three-four its students minorities
216	0	2849	1.9488	2859	-0.0495	 and On Valenc severalelve this
217	8	2928	1.4336	2939	-0.0779	iral Inc of America Cophiliaact
218	0	2928	6.6416	2943	-0.0729	 Inc of America Cophiliaacti
219	2	2928	2.1776	2941	-0.0468	 of America Cophiliaactiuc
220	2	2892	15.74	3000	-0.0691	.g style from Girlsation pl her
221	2	2892	7.7565	2924	-0.0469	 style from Girlsation pl her husband died
222	2	2892	3.1277	2919	-0.0397	 from Girlsation pl her husband died and
223	10	2892	2.4361	2905	-0.0548	 Girlsation pl her husband died and she
224	10	2892	9.0169	2924	-0.0539	ation pl her husband died and she was
225	2	3000	1.0	0	-0.0419	K Their.nes 2011 Their.bert
226	8	2892	1.1969	2903	-0.0425	 her husband died and she was sent to
227	18	2851	5.5062	2865	-0.048	 Researchisation (RO). It was
228	22	2800	0.7528	2810	-0.046	 and for Adams. the allind
229	0	2826	0.8598	2837	-0.0591	 School of am. object
 became teacher
230	28	2826	1.3336	2851	-0.0129	 am. object
 became teacher (ple
231	28	2826	1.7432	2837	-0.0464	. object
 became teacher (plement
232	28	2826	2.7475	2851	-0.0447	 object
 became teacher (plement no
233	30	2826	1.3015	2837	-0.0555	
 became teacher (plement no object
234	30	2826	0.871	2842	-0.0338	 became teacher (plement no object)
235	30	2826	1.7611	2841	-0.0515	 teacher (plement no object)

236	24	2893	1.2029	2904	-0.037	 drugs steal old people. the Ocean
237	2	2802	0.7623	2813	-0.0419	 O New Jersey for many a sports at
238	2	2827	5.3306	3000	-0.0608	 bed1 object Ulfson, Finnish
239	26	2802	1.5457	2813	-0.0337	 Jersey for many a sports at time,
240	0	2827	0.8731	2842	-0.048	 object Ulfson, FinnishSwed
241	14	2802	1.5457	2813	-0.0464	 a sports at time, also cest
242	24	2893	8.1998	3000	-0.0525	 old people. the Oceanation (O
243	24	2893	1.821	2904	-0.0592	 people. the Oceanation (O and
244	0	3000	1.0	0	-0.0585	 2011 es and Whitunk sign
245	12	3000	1.0	0	-0.0413	 2011 es and Whitunk sign a
246	12	3000	1.0	0	-0.0369	 2011 es and Whitunk sign a Wonder
247	0	2864	7.7979	3000	-0.0662	 civil governor Bull, arrived by accident that
248	8	3000	1.0	0	-0.0469	 es and Whitunk sign a Wonder

249	26	2805	1.1755	2817	-0.0541	 air gives d has no color Carbon
250	0	3000	1.0	0	-0.0395	 and Whitunk sign a Wonder
 Their
251	18	2805	0.7759	2817	-0.0599	 has no color Carbonxide can be
252	0	3000	1.0	0	-0.0552	.nes 2011 Their.bertese Whit
253	22	2805	0.7759	2817	-0.037	 color Carbonxide can be liquified
254	22	2805	1.202	2826	-0.0676	 Carbonxide can be liquified pressure
255	20	2864	1.0402	2875	-0.0474	ernov are of known theness,
256	22	2805	0.7759	2817	-0.0469	xide can be liquified pressure 5 atm
257	22	2805	0.7759	2817	-0.0526	 be liquified pressure 5 atmosphe
258	22	2805	1.2082	2825	-0.0505	 liquified pressure 5 atmospheres
259	0	2806	0.7859	2821	-0.0321	ified pressure 5 atmospheres covers
260	8	3000	1.0	0	-0.0595	 Whitunk sign a Wonder
 Theirrib
261	2	2806	1.6034	2825	-0.0676	 5 atmospheres covers and lower
262	2	2806	0.7778	2817	-0.0344	 atmospheres covers and lower sur
263	2	2806	2.177	2869	-0.048	heres covers and lower suraces

264	25	2829	2.6937	2846	-0.0418	onn clos ander to, bal in
265	2	2941	38.2001	3000	-0.0655	 data to divided processed inruct
266	16	3000	1.0	0	-0.05	unk sign a Wonder
 Theirrib Wonder
267	0	2865	30.6889	3000	-0.0548	 theness, but possibleant706
268	30	2806	0.7778	2817	-0.0583	
 Theophy (also calledlory
269	30	2829	1.3488	2850	-0.0669	, bal in equation  has larger
270	30	2806	0.7962	2826	-0.063	ophy (also calledlory) inside
271	30	2806	1.6514	2833	-0.0485	 (also calledlory) inside the
272	22	2806	2.5003	2833	-0.0498	also calledlory) inside the le
273	22	2806	0.7983	2827	-0.0611	 calledlory) inside the leaf
274	30	2829	2.2732	2850	-0.0667	 bal in equation  has larger and
275	0	2833	6.7466	3000	-0.0557	 in equation  has larger and as
276	2	2865	10.6544	2897	-0.0767	ness, but possibleant706fefefe
277	2	2833	2.7812	2854	-0.057	ation  has larger and aseyc
278	2	2833	4.3832	3000	-0.0435	 has larger and aseycé the
279	2	2833	5.3689	3000	-0.0447	 larger and aseycé the the
280	2	2848	0.96	2859	-0.0394	 clman ministry in Gvoial
281	10	2865	5.4945	2891	-0.0611	 but possibleant706fefefe|47
282	30	2810	0.8102	2829	-0.0735	's death as as betraying after
283	6	2833	6.9729	2851	-0.071	é the the video old fashionedam
284	18	2833	7.9258	2854	-0.055	 the the video old fashionedamor
285	0	2813	12.2764	3000	-0.0634	iStra,1969)ures basketball
286	2	2813	1.6607	2833	-0.0676	Stra,1969)ures basketballN
287	2	2813	0.8076	2825	-0.0485	ra,1969)ures basketballN 
288	2	2813	1.2257	2826	-0.0781	,1969)ures basketballN ques
289	8	3000	1.0	0	-0.0707	 sign a Wonder
 Theirrib Wonder and
290	26	2813	0.8246	2833	-0.0594	)ures basketballN quesizeau
291	30	2813	1.2427	2833	-0.0468	ures basketballN quesizeau politician
292	0	3000	1.0	0	-0.0707	 a Wonder
 Theirrib Wonder and Whit
293	8	3000	1.0	0	-0.0594	nes 2011 Their.bertese Whit a
